cve,epss,Date
CVE-2025-20339,0.0003,2025-10-15
CVE-2025-34185,0.00308,2025-10-15
CVE-2025-37125,0.00042,2025-10-15
CVE-2025-41243,0.00063,2025-10-15
CVE-2025-42944,0.00047,2025-10-15
CVE-2025-52544,0.00087,2025-10-15
CVE-2025-54914,0.00064,2025-10-15
CVE-2025-55243,0.00105,2025-10-15
CVE-2025-57147,0.00041,2025-10-15
CVE-2025-8422,0.00083,2025-10-15
CVE-2025-20339,0.0003,2025-10-16
CVE-2025-34185,0.00308,2025-10-16
CVE-2025-37125,0.00042,2025-10-16
CVE-2025-41243,0.00063,2025-10-16
CVE-2025-42944,0.00047,2025-10-16
CVE-2025-52544,0.00087,2025-10-16
CVE-2025-54914,0.00064,2025-10-16
CVE-2025-55243,0.00105,2025-10-16
CVE-2025-57147,0.00041,2025-10-16
CVE-2025-8422,0.00083,2025-10-16
CVE-2025-20339,0.0003,2025-10-17
CVE-2025-34185,0.00308,2025-10-17
CVE-2025-37125,0.00042,2025-10-17
CVE-2025-41243,0.00063,2025-10-17
CVE-2025-42944,0.00047,2025-10-17
CVE-2025-52544,0.00087,2025-10-17
CVE-2025-54914,0.00064,2025-10-17
CVE-2025-55243,0.00105,2025-10-17
CVE-2025-57147,0.00041,2025-10-17
CVE-2025-8422,0.00083,2025-10-17
CVE-2025-20339,0.0003,2025-10-18
CVE-2025-34185,0.00336,2025-10-18
CVE-2025-37125,0.00045,2025-10-18
CVE-2025-41243,0.00068,2025-10-18
CVE-2025-42944,0.00047,2025-10-18
CVE-2025-52544,0.00087,2025-10-18
CVE-2025-54914,0.00162,2025-10-18
CVE-2025-55243,0.00105,2025-10-18
CVE-2025-57147,0.00041,2025-10-18
CVE-2025-8422,0.00083,2025-10-18
CVE-2025-20339,0.0003,2025-10-19
CVE-2025-34185,0.00336,2025-10-19
CVE-2025-37125,0.00045,2025-10-19
CVE-2025-41243,0.00068,2025-10-19
CVE-2025-42944,0.00047,2025-10-19
CVE-2025-52544,0.00087,2025-10-19
CVE-2025-54914,0.00162,2025-10-19
CVE-2025-55243,0.00105,2025-10-19
CVE-2025-57147,0.00041,2025-10-19
CVE-2025-8422,0.00083,2025-10-19
CVE-2025-20339,0.0003,2025-10-20
CVE-2025-34185,0.00336,2025-10-20
CVE-2025-37125,0.00045,2025-10-20
CVE-2025-41243,0.00068,2025-10-20
CVE-2025-42944,0.00047,2025-10-20
CVE-2025-52544,0.00087,2025-10-20
CVE-2025-54914,0.00162,2025-10-20
CVE-2025-55243,0.00105,2025-10-20
CVE-2025-57147,0.00041,2025-10-20
CVE-2025-8422,0.00083,2025-10-20
CVE-2025-20339,0.0003,2025-10-21
CVE-2025-34185,0.00336,2025-10-21
CVE-2025-37125,0.00045,2025-10-21
CVE-2025-41243,0.00068,2025-10-21
CVE-2025-42944,0.00047,2025-10-21
CVE-2025-52544,0.00087,2025-10-21
CVE-2025-54914,0.00162,2025-10-21
CVE-2025-55243,0.00105,2025-10-21
CVE-2025-57147,0.00041,2025-10-21
CVE-2025-8422,0.00083,2025-10-21
CVE-2025-20339,0.0003,2025-10-22
CVE-2025-34185,0.00336,2025-10-22
CVE-2025-37125,0.00045,2025-10-22
CVE-2025-41243,0.00068,2025-10-22
CVE-2025-42944,0.00047,2025-10-22
CVE-2025-52544,0.00087,2025-10-22
CVE-2025-54914,0.00179,2025-10-22
CVE-2025-55243,0.00105,2025-10-22
CVE-2025-57147,0.00041,2025-10-22
CVE-2025-8422,0.00083,2025-10-22
CVE-2025-20339,0.0003,2025-10-24
CVE-2025-34185,0.00336,2025-10-24
CVE-2025-37125,0.00045,2025-10-24
CVE-2025-41243,0.00068,2025-10-24
CVE-2025-42944,0.00047,2025-10-24
CVE-2025-52544,0.00087,2025-10-24
CVE-2025-54914,0.00179,2025-10-24
CVE-2025-55243,0.00105,2025-10-24
CVE-2025-57147,0.00041,2025-10-24
CVE-2025-8422,0.00083,2025-10-24
CVE-2025-20339,0.0003,2025-10-25
CVE-2025-34185,0.00336,2025-10-25
CVE-2025-37125,0.00045,2025-10-25
CVE-2025-41243,0.00068,2025-10-25
CVE-2025-42944,0.00047,2025-10-25
CVE-2025-52544,0.00087,2025-10-25
CVE-2025-54914,0.00179,2025-10-25
CVE-2025-55243,0.00105,2025-10-25
CVE-2025-57147,0.00041,2025-10-25
CVE-2025-8422,0.00083,2025-10-25
CVE-2025-20339,0.00032,2025-10-26
CVE-2025-34185,0.00336,2025-10-26
CVE-2025-37125,0.00045,2025-10-26
CVE-2025-41243,0.00068,2025-10-26
CVE-2025-42944,0.00047,2025-10-26
CVE-2025-52544,0.00087,2025-10-26
CVE-2025-54914,0.00179,2025-10-26
CVE-2025-55243,0.00105,2025-10-26
CVE-2025-57147,0.00041,2025-10-26
CVE-2025-8422,0.00083,2025-10-26
CVE-2025-20339,0.00032,2025-10-27
CVE-2025-34185,0.00336,2025-10-27
CVE-2025-37125,0.00045,2025-10-27
CVE-2025-41243,0.00068,2025-10-27
CVE-2025-42944,0.00047,2025-10-27
CVE-2025-52544,0.00087,2025-10-27
CVE-2025-54914,0.00179,2025-10-27
CVE-2025-55243,0.00105,2025-10-27
CVE-2025-57147,0.00041,2025-10-27
CVE-2025-8422,0.00083,2025-10-27
CVE-2025-20339,0.00032,2025-10-29
CVE-2025-34185,0.00336,2025-10-29
CVE-2025-37125,0.00045,2025-10-29
CVE-2025-41243,0.00068,2025-10-29
CVE-2025-42944,0.00047,2025-10-29
CVE-2025-52544,0.00087,2025-10-29
CVE-2025-54914,0.00179,2025-10-29
CVE-2025-55243,0.00105,2025-10-29
CVE-2025-57147,0.00041,2025-10-29
CVE-2025-8422,0.00083,2025-10-29
CVE-2025-20339,0.00032,2025-10-30
CVE-2025-34185,0.00336,2025-10-30
CVE-2025-37125,0.00045,2025-10-30
CVE-2025-41243,0.07014,2025-10-30
CVE-2025-42944,0.00047,2025-10-30
CVE-2025-52544,0.00087,2025-10-30
CVE-2025-54914,0.00179,2025-10-30
CVE-2025-55243,0.00105,2025-10-30
CVE-2025-57147,0.00041,2025-10-30
CVE-2025-8422,0.00083,2025-10-30
CVE-2025-20339,0.00032,2025-10-31
CVE-2025-34185,0.00336,2025-10-31
CVE-2025-37125,0.00045,2025-10-31
CVE-2025-41243,0.07014,2025-10-31
CVE-2025-42944,0.00047,2025-10-31
CVE-2025-52544,0.00087,2025-10-31
CVE-2025-54914,0.00179,2025-10-31
CVE-2025-55243,0.00105,2025-10-31
CVE-2025-57147,0.00041,2025-10-31
CVE-2025-8422,0.00083,2025-10-31
CVE-2025-20339,0.00032,2025-11-01
CVE-2025-34185,0.00336,2025-11-01
CVE-2025-37125,0.00045,2025-11-01
CVE-2025-41243,0.10243,2025-11-01
CVE-2025-42944,0.00047,2025-11-01
CVE-2025-52544,0.00087,2025-11-01
CVE-2025-54914,0.00179,2025-11-01
CVE-2025-55243,0.00105,2025-11-01
CVE-2025-57147,0.00041,2025-11-01
CVE-2025-8422,0.00083,2025-11-01
CVE-2025-20339,0.00032,2025-11-02
CVE-2025-34185,0.00336,2025-11-02
CVE-2025-37125,0.00045,2025-11-02
CVE-2025-41243,0.10243,2025-11-02
CVE-2025-42944,0.00047,2025-11-02
CVE-2025-52544,0.00087,2025-11-02
CVE-2025-54914,0.00179,2025-11-02
CVE-2025-55243,0.00105,2025-11-02
CVE-2025-57147,0.00041,2025-11-02
CVE-2025-8422,0.00083,2025-11-02
CVE-2025-20339,0.00032,2025-11-03
CVE-2025-34185,0.00336,2025-11-03
CVE-2025-37125,0.00045,2025-11-03
CVE-2025-41243,0.10243,2025-11-03
CVE-2025-42944,0.00047,2025-11-03
CVE-2025-52544,0.00087,2025-11-03
CVE-2025-54914,0.00179,2025-11-03
CVE-2025-55243,0.00105,2025-11-03
CVE-2025-57147,0.00041,2025-11-03
CVE-2025-8422,0.00083,2025-11-03
CVE-2025-20339,0.00032,2025-11-04
CVE-2025-34185,0.00336,2025-11-04
CVE-2025-37125,0.00045,2025-11-04
CVE-2025-41243,0.10243,2025-11-04
CVE-2025-42944,0.00047,2025-11-04
CVE-2025-52544,0.00087,2025-11-04
CVE-2025-54914,0.00179,2025-11-04
CVE-2025-55243,0.00105,2025-11-04
CVE-2025-57147,0.00041,2025-11-04
CVE-2025-8422,0.00083,2025-11-04
CVE-2025-20339,0.00032,2025-11-05
CVE-2025-34185,0.00336,2025-11-05
CVE-2025-37125,0.00045,2025-11-05
CVE-2025-41243,0.10243,2025-11-05
CVE-2025-42944,0.0002,2025-11-05
CVE-2025-52544,0.00087,2025-11-05
CVE-2025-54914,0.00179,2025-11-05
CVE-2025-55243,0.00105,2025-11-05
CVE-2025-57147,0.00041,2025-11-05
CVE-2025-8422,0.00083,2025-11-05
CVE-2025-20339,0.00032,2025-11-06
CVE-2025-34185,0.00336,2025-11-06
CVE-2025-37125,0.00045,2025-11-06
CVE-2025-41243,0.10243,2025-11-06
CVE-2025-42944,0.0002,2025-11-06
CVE-2025-52544,0.00087,2025-11-06
CVE-2025-54914,0.00179,2025-11-06
CVE-2025-55243,0.00105,2025-11-06
CVE-2025-57147,0.00041,2025-11-06
CVE-2025-8422,0.00083,2025-11-06
CVE-2025-20339,0.00032,2025-11-07
CVE-2025-34185,0.00336,2025-11-07
CVE-2025-37125,0.00045,2025-11-07
CVE-2025-41243,0.10243,2025-11-07
CVE-2025-42944,0.0002,2025-11-07
CVE-2025-52544,0.00087,2025-11-07
CVE-2025-54914,0.00179,2025-11-07
CVE-2025-55243,0.00105,2025-11-07
CVE-2025-57147,0.00041,2025-11-07
CVE-2025-8422,0.00083,2025-11-07
CVE-2025-20339,0.00032,2025-11-09
CVE-2025-34185,0.00336,2025-11-09
CVE-2025-37125,0.00045,2025-11-09
CVE-2025-41243,0.10243,2025-11-09
CVE-2025-42944,0.0002,2025-11-09
CVE-2025-52544,0.00102,2025-11-09
CVE-2025-54914,0.00179,2025-11-09
CVE-2025-55243,0.00105,2025-11-09
CVE-2025-57147,0.00041,2025-11-09
CVE-2025-8422,0.00083,2025-11-09
CVE-2025-20339,0.00032,2025-11-10
CVE-2025-34185,0.00336,2025-11-10
CVE-2025-37125,0.00045,2025-11-10
CVE-2025-41243,0.10243,2025-11-10
CVE-2025-42944,0.0002,2025-11-10
CVE-2025-52544,0.00102,2025-11-10
CVE-2025-54914,0.00179,2025-11-10
CVE-2025-55243,0.00105,2025-11-10
CVE-2025-57147,0.00041,2025-11-10
CVE-2025-8422,0.00083,2025-11-10
CVE-2025-20339,0.00032,2025-11-16
CVE-2025-34185,0.00336,2025-11-16
CVE-2025-37125,0.00045,2025-11-16
CVE-2025-41243,0.07811,2025-11-16
CVE-2025-42944,0.0002,2025-11-16
CVE-2025-52544,0.00102,2025-11-16
CVE-2025-54914,0.00187,2025-11-16
CVE-2025-55243,0.00109,2025-11-16
CVE-2025-57147,0.00043,2025-11-16
CVE-2025-8422,0.00083,2025-11-16
CVE-2025-20339,0.00032,2025-11-17
CVE-2025-34185,0.00336,2025-11-17
CVE-2025-37125,0.00045,2025-11-17
CVE-2025-41243,0.07811,2025-11-17
CVE-2025-42944,0.0002,2025-11-17
CVE-2025-52544,0.00102,2025-11-17
CVE-2025-54914,0.00187,2025-11-17
CVE-2025-55243,0.00109,2025-11-17
CVE-2025-57147,0.00043,2025-11-17
CVE-2025-8422,0.00083,2025-11-17
CVE-2025-20339,0.00032,2025-11-19
CVE-2025-34185,0.00336,2025-11-19
CVE-2025-37125,0.00045,2025-11-19
CVE-2025-41243,0.07014,2025-11-19
CVE-2025-42944,0.0002,2025-11-19
CVE-2025-52544,0.00102,2025-11-19
CVE-2025-54914,0.00108,2025-11-19
CVE-2025-55243,0.00109,2025-11-19
CVE-2025-57147,0.00043,2025-11-19
CVE-2025-8422,0.00065,2025-11-19
CVE-2025-20339,0.00032,2025-11-21
CVE-2025-34185,0.00336,2025-11-21
CVE-2025-37125,0.00045,2025-11-21
CVE-2025-41243,0.07811,2025-11-21
CVE-2025-42944,0.0002,2025-11-21
CVE-2025-52544,0.00102,2025-11-21
CVE-2025-54914,0.00187,2025-11-21
CVE-2025-55243,0.00109,2025-11-21
CVE-2025-57147,0.00043,2025-11-21
CVE-2025-8422,0.00087,2025-11-21
CVE-2025-20339,0.00032,2025-11-22
CVE-2025-34185,0.00336,2025-11-22
CVE-2025-37125,0.00045,2025-11-22
CVE-2025-41243,0.07811,2025-11-22
CVE-2025-42944,0.0002,2025-11-22
CVE-2025-52544,0.00102,2025-11-22
CVE-2025-54914,0.00187,2025-11-22
CVE-2025-55243,0.00109,2025-11-22
CVE-2025-57147,0.00043,2025-11-22
CVE-2025-8422,0.00087,2025-11-22
CVE-2025-20339,0.00032,2025-11-24
CVE-2025-34185,0.00355,2025-11-24
CVE-2025-37125,0.00047,2025-11-24
CVE-2025-41243,0.08124,2025-11-24
CVE-2025-42944,0.0002,2025-11-24
CVE-2025-52544,0.00102,2025-11-24
CVE-2025-54914,0.00187,2025-11-24
CVE-2025-55243,0.00109,2025-11-24
CVE-2025-57147,0.00043,2025-11-24
CVE-2025-8422,0.00087,2025-11-24
CVE-2025-20339,0.00032,2025-11-26
CVE-2025-34185,0.00355,2025-11-26
CVE-2025-37125,0.00047,2025-11-26
CVE-2025-41243,0.08124,2025-11-26
CVE-2025-42944,0.0002,2025-11-26
CVE-2025-52544,0.00102,2025-11-26
CVE-2025-54914,0.00187,2025-11-26
CVE-2025-55243,0.00109,2025-11-26
CVE-2025-57147,0.00043,2025-11-26
CVE-2025-8422,0.00087,2025-11-26
CVE-2025-20339,0.00032,2025-11-27
CVE-2025-34185,0.00355,2025-11-27
CVE-2025-37125,0.00047,2025-11-27
CVE-2025-41243,0.08124,2025-11-27
CVE-2025-42944,0.0002,2025-11-27
CVE-2025-52544,0.00102,2025-11-27
CVE-2025-54914,0.00187,2025-11-27
CVE-2025-55243,0.00109,2025-11-27
CVE-2025-57147,0.00043,2025-11-27
CVE-2025-8422,0.00087,2025-11-27
CVE-2025-20339,0.00032,2025-11-28
CVE-2025-34185,0.00355,2025-11-28
CVE-2025-37125,0.00047,2025-11-28
CVE-2025-41243,0.08124,2025-11-28
CVE-2025-42944,0.0002,2025-11-28
CVE-2025-52544,0.00102,2025-11-28
CVE-2025-54914,0.00187,2025-11-28
CVE-2025-55243,0.00109,2025-11-28
CVE-2025-57147,0.00043,2025-11-28
CVE-2025-8422,0.00087,2025-11-28
CVE-2025-20339,0.00034,2025-12-01
CVE-2025-34185,0.00355,2025-12-01
CVE-2025-37125,0.00047,2025-12-01
CVE-2025-41243,0.08124,2025-12-01
CVE-2025-42944,0.00063,2025-12-01
CVE-2025-52544,0.00102,2025-12-01
CVE-2025-54914,0.00187,2025-12-01
CVE-2025-55243,0.00109,2025-12-01
CVE-2025-57147,0.00043,2025-12-01
CVE-2025-8422,0.00087,2025-12-01
CVE-2025-20339,0.00034,2025-12-02
CVE-2025-34185,0.00355,2025-12-02
CVE-2025-37125,0.00047,2025-12-02
CVE-2025-41243,0.08124,2025-12-02
CVE-2025-42944,0.00063,2025-12-02
CVE-2025-52544,0.00102,2025-12-02
CVE-2025-54914,0.00187,2025-12-02
CVE-2025-55243,0.00109,2025-12-02
CVE-2025-57147,0.00043,2025-12-02
CVE-2025-8422,0.00087,2025-12-02
CVE-2025-20339,0.00034,2025-12-03
CVE-2025-34185,0.00355,2025-12-03
CVE-2025-37125,0.00047,2025-12-03
CVE-2025-41243,0.08124,2025-12-03
CVE-2025-42944,0.00063,2025-12-03
CVE-2025-52544,0.00102,2025-12-03
CVE-2025-54914,0.00254,2025-12-03
CVE-2025-55243,0.00109,2025-12-03
CVE-2025-57147,0.00043,2025-12-03
CVE-2025-8422,0.00087,2025-12-03
CVE-2025-20339,0.00034,2025-12-07
CVE-2025-34185,0.00355,2025-12-07
CVE-2025-37125,0.00047,2025-12-07
CVE-2025-41243,0.08124,2025-12-07
CVE-2025-42944,0.0002,2025-12-07
CVE-2025-52544,0.00102,2025-12-07
CVE-2025-54914,0.00254,2025-12-07
CVE-2025-55243,0.00109,2025-12-07
CVE-2025-57147,0.00043,2025-12-07
CVE-2025-8422,0.00087,2025-12-07
CVE-2025-20339,0.00034,2025-12-08
CVE-2025-34185,0.00355,2025-12-08
CVE-2025-37125,0.00047,2025-12-08
CVE-2025-41243,0.08124,2025-12-08
CVE-2025-42944,0.0002,2025-12-08
CVE-2025-52544,0.00102,2025-12-08
CVE-2025-54914,0.00254,2025-12-08
CVE-2025-55243,0.00109,2025-12-08
CVE-2025-57147,0.00043,2025-12-08
CVE-2025-8422,0.00087,2025-12-08
CVE-2025-20339,0.00034,2025-12-09
CVE-2025-34185,0.00355,2025-12-09
CVE-2025-37125,0.00047,2025-12-09
CVE-2025-41243,0.08124,2025-12-09
CVE-2025-42944,0.0002,2025-12-09
CVE-2025-52544,0.00102,2025-12-09
CVE-2025-54914,0.00254,2025-12-09
CVE-2025-55243,0.00109,2025-12-09
CVE-2025-57147,0.00043,2025-12-09
CVE-2025-8422,0.00087,2025-12-09
CVE-2025-20339,0.00034,2026-01-04
CVE-2025-34185,0.00355,2026-01-04
CVE-2025-37125,0.00047,2026-01-04
CVE-2025-41243,0.07004,2026-01-04
CVE-2025-42944,0.0002,2026-01-04
CVE-2025-52544,0.00122,2026-01-04
CVE-2025-54914,0.0023,2026-01-04
CVE-2025-55243,0.00109,2026-01-04
CVE-2025-57147,0.00052,2026-01-04
CVE-2025-8422,0.00087,2026-01-04
